,c_charge_degree,race,age_cat,sex,age,priors_count,juv_fel_count,juv_misd_count,score_text,two_year_recid,is_recid,training_value,decile_score
1,F,African-American,25 - 45,Male,34,0,0,0,0,1,1,0.1947845,3
2,F,African-American,Less than 25,Male,24,4,0,0,0,1,1,0.67584246,4
3,F,African-American,Less than 25,Male,23,1,0,1,1,0,0,0.93044096,8
6,F,Caucasian,25 - 45,Male,41,14,0,0,1,1,1,0.8140306,6
8,M,Caucasian,25 - 45,Female,39,0,0,0,0,0,0,0.17964828,1
9,F,Caucasian,Less than 25,Male,21,1,0,0,0,1,1,0.5355085,3
10,F,Caucasian,25 - 45,Male,27,0,0,0,0,0,0,0.34662393,4
11,M,African-American,Less than 25,Male,23,3,0,0,1,1,1,0.80558795,6
12,M,Caucasian,25 - 45,Female,37,0,0,0,0,0,0,0.2071711,1
13,F,African-American,25 - 45,Male,41,0,0,0,0,0,0,0.1852472,4
14,F,Caucasian,Greater than 45,Female,47,1,0,0,0,1,1,0.25822768,1
15,F,African-American,25 - 45,Male,31,7,0,0,0,1,1,0.915787,3
17,F,African-American,25 - 45,Male,25,3,0,0,1,0,0,0.6828452,10
18,F,Caucasian,25 - 45,Male,31,6,0,0,1,1,1,0.7803037,5
19,F,Caucasian,25 - 45,Male,31,5,0,0,0,1,1,0.5592471,3
20,F,African-American,Greater than 45,Male,64,13,0,0,1,1,1,0.3573696,6
21,F,African-American,Less than 25,Male,21,1,0,0,1,1,1,0.5874593,9
22,M,Caucasian,25 - 45,Male,27,0,0,0,0,1,1,0.24079676,2
23,F,Caucasian,Less than 25,Female,21,0,0,0,0,0,0,0.44382864,4
25,M,Caucasian,25 - 45,Male,43,1,0,0,0,0,0,0.2757458,1
27,F,African-American,25 - 45,Male,27,8,0,0,0,1,1,0.8877375,3
28,F,Caucasian,25 - 45,Female,36,3,0,0,0,0,0,0.38492087,3
29,F,African-American,25 - 45,Male,26,5,0,0,1,1,1,0.8033305,7
30,F,African-American,25 - 45,Male,33,0,0,0,1,1,1,0.37089553,10
31,F,Caucasian,25 - 45,Male,30,9,0,0,1,1,1,0.7805587,9
32,F,African-American,25 - 45,Male,32,4,0,0,1,1,1,0.51976097,8
33,F,Caucasian,Greater than 45,Male,55,0,0,0,0,0,0,0.059489448,1
35,M,Caucasian,25 - 45,Male,26,6,0,0,1,0,0,0.9040482,8
36,M,Caucasian,25 - 45,Female,33,4,0,0,1,1,1,0.5664377,5
37,M,Caucasian,Less than 25,Male,24,1,0,0,0,1,1,0.54528093,2
38,F,African-American,25 - 45,Male,34,21,2,1,1,1,1,0.8446963,9
39,M,Caucasian,25 - 45,Male,29,0,0,0,0,0,0,0.33522192,2
40,F,African-American,Less than 25,Female,21,2,0,0,1,0,0,0.753206,8
41,M,African-American,Greater than 45,Male,51,2,0,0,0,0,0,0.23249097,1
42,M,Caucasian,25 - 45,Male,29,2,0,0,0,1,1,0.45079985,2
43,F,African-American,Greater than 45,Female,51,7,0,0,0,0,0,0.31173775,2
44,F,African-American,25 - 45,Male,29,0,0,0,1,1,1,0.33157444,7
45,M,Caucasian,25 - 45,Male,25,9,0,0,1,1,1,0.84398234,10
46,F,African-American,25 - 45,Male,35,13,1,0,1,1,1,0.79996294,8
47,M,Caucasian,Greater than 45,Male,49,0,0,0,0,0,0,0.16327848,1
48,M,African-American,25 - 45,Male,34,4,0,0,0,1,1,0.424071,3
49,F,African-American,25 - 45,Male,29,0,0,0,0,0,0,0.28433654,4
50,F,Caucasian,25 - 45,Male,29,1,0,0,0,1,1,0.25824246,2
52,F,Caucasian,Greater than 45,Male,48,20,0,0,1,1,1,0.77429664,6
54,F,African-American,25 - 45,Male,31,15,0,0,1,0,1,0.95775735,5
55,F,African-American,Less than 25,Male,24,2,0,0,0,1,1,0.5676012,4
57,M,African-American,Greater than 45,Male,49,4,0,0,0,0,0,0.24802643,1
58,F,Caucasian,Greater than 45,Male,53,8,0,0,1,0,0,0.33672386,5
59,F,African-American,25 - 45,Male,35,5,0,0,0,0,0,0.49468866,3
60,M,African-American,Greater than 45,Male,63,10,0,0,1,1,1,0.40024593,7
61,F,African-American,25 - 45,Male,27,15,1,1,1,1,1,0.99975806,10
62,M,Caucasian,25 - 45,Male,38,4,0,0,0,1,1,0.34415054,2
63,F,African-American,Less than 25,Male,22,1,0,0,0,1,1,0.52418965,4
64,F,African-American,Less than 25,Male,22,2,0,1,1,1,1,0.84788424,10
65,F,African-American,25 - 45,Male,29,4,0,0,1,1,1,0.7229465,9
67,F,African-American,25 - 45,Male,27,6,0,1,1,1,1,0.5538435,6
69,M,African-American,Greater than 45,Female,56,0,0,0,0,0,0,0.056677468,1
72,M,African-American,25 - 45,Male,39,1,0,0,0,0,0,0.28625652,4
73,F,African-American,25 - 45,Male,29,5,0,0,1,1,1,0.88146204,6
74,F,Caucasian,25 - 45,Male,27,1,0,0,1,1,1,0.43305555,6
75,F,African-American,25 - 45,Male,40,2,0,0,0,0,0,0.31736296,2
76,M,African-American,Less than 25,Male,22,1,0,0,0,1,1,0.7640808,3
77,F,Caucasian,Less than 25,Male,22,0,0,0,1,0,0,0.51770073,8
78,F,African-American,25 - 45,Female,26,1,0,0,0,1,1,0.28907228,4
79,F,Caucasian,25 - 45,Male,27,1,0,0,1,1,1,0.5580037,7
80,F,African-American,25 - 45,Male,32,0,0,0,0,0,0,0.14086051,2
81,M,African-American,25 - 45,Male,41,1,0,0,0,0,0,0.30796555,2
82,M,African-American,25 - 45,Male,30,8,0,0,1,1,1,0.917023,10
84,F,African-American,25 - 45,Male,25,14,1,6,1,1,1,0.9985184,10
86,F,African-American,Less than 25,Male,22,2,1,0,1,1,1,0.873138,9
87,M,African-American,Less than 25,Male,23,2,0,0,1,1,1,0.7701334,7
88,M,African-American,25 - 45,Female,35,1,0,0,0,0,0,0.33476985,2
89,F,African-American,25 - 45,Male,36,9,0,0,1,1,1,0.7341117,7
90,F,Caucasian,25 - 45,Male,26,7,0,0,1,1,1,0.6873045,8
92,F,Caucasian,25 - 45,Male,25,9,0,0,1,1,1,0.84957445,8
93,M,African-American,Greater than 45,Male,71,12,0,0,1,0,0,0.24644323,7
94,F,Caucasian,Less than 25,Female,20,0,0,0,1,0,0,0.52514315,7
95,F,Caucasian,25 - 45,Male,39,2,0,0,0,1,1,0.268017,1
96,F,Caucasian,Greater than 45,Male,66,3,0,0,0,0,0,0.12663513,1
97,M,Caucasian,Greater than 45,Female,54,0,0,0,0,0,0,0.17166848,1
99,M,African-American,Less than 25,Male,19,1,0,0,0,1,1,0.74811536,4
100,F,African-American,Less than 25,Male,24,1,0,0,0,0,0,0.55686915,2
101,F,African-American,25 - 45,Male,30,1,0,0,0,0,0,0.4447219,2
102,F,Caucasian,25 - 45,Female,39,0,0,0,0,1,1,0.20666586,1
103,F,Caucasian,Less than 25,Male,24,8,0,1,1,1,1,0.7679848,6
104,F,Caucasian,25 - 45,Male,30,0,0,0,0,0,0,0.17399517,4
105,M,Caucasian,25 - 45,Male,31,0,0,0,1,0,0,0.28440857,5
106,F,Caucasian,25 - 45,Female,39,1,0,0,0,0,0,0.14343266,4
107,F,African-American,Greater than 45,Male,59,14,0,0,1,1,1,0.83317333,9
108,F,Caucasian,25 - 45,Male,43,1,0,0,0,0,0,0.37708876,1
109,F,African-American,Less than 25,Male,21,3,0,0,1,1,1,0.62401336,9
110,M,Caucasian,25 - 45,Male,38,5,0,0,0,1,1,0.4470486,4
111,F,Caucasian,25 - 45,Male,34,0,0,0,1,0,0,0.340344,5
112,F,African-American,25 - 45,Male,33,5,0,0,1,1,1,0.39898026,5
113,F,African-American,25 - 45,Male,37,3,0,0,0,0,0,0.33359993,2
114,F,Caucasian,25 - 45,Male,42,1,0,0,0,1,1,0.2014533,2
115,F,African-American,25 - 45,Male,41,10,0,1,1,1,1,0.7823978,9
116,F,African-American,Less than 25,Male,22,0,0,0,0,1,1,0.3894748,4
117,F,African-American,25 - 45,Male,33,28,0,12,1,1,1,0.93124425,8
118,M,African-American,25 - 45,Male,31,1,0,0,1,0,0,0.2397945,7
120,F,Caucasian,25 - 45,Male,31,13,0,0,1,1,1,0.89468753,10
121,F,African-American,25 - 45,Male,27,3,0,0,1,1,1,0.63474,9
122,F,African-American,Greater than 45,Male,56,8,0,0,1,0,0,0.43167967,9
123,M,Caucasian,Greater than 45,Male,52,3,0,0,1,0,0,0.1658521,9
124,F,African-American,25 - 45,Male,33,19,0,0,1,1,1,0.95801365,10
125,M,Caucasian,Greater than 45,Female,64,2,0,0,0,0,0,0.32445928,1
126,F,Caucasian,Less than 25,Male,22,4,0,0,1,1,1,0.5343544,6
127,F,Caucasian,25 - 45,Male,42,6,0,0,0,0,0,0.347414,3
128,F,Caucasian,25 - 45,Female,25,2,0,0,0,0,0,0.6005173,4
129,M,Caucasian,25 - 45,Male,30,1,0,0,0,0,0,0.23301764,2
130,F,Caucasian,25 - 45,Male,28,2,0,0,0,0,0,0.44069874,1
132,M,Caucasian,25 - 45,Male,28,0,0,0,0,1,1,0.3722931,2
133,M,African-American,Less than 25,Female,24,0,0,0,0,0,0,0.5343431,2
134,F,Caucasian,25 - 45,Female,29,10,0,1,0,1,1,0.9009989,4
135,M,Caucasian,25 - 45,Male,44,2,0,0,0,1,1,0.22653674,2
137,F,African-American,25 - 45,Male,32,3,0,0,1,1,1,0.5257627,7
138,M,Caucasian,25 - 45,Male,31,2,0,0,0,1,1,0.48573965,3
139,M,African-American,25 - 45,Male,31,1,0,0,0,0,1,0.34835753,2
140,F,Caucasian,Greater than 45,Male,59,1,0,0,0,1,1,0.22102302,2
141,F,Caucasian,Greater than 45,Female,45,4,0,0,0,0,0,0.33222136,4
142,F,African-American,Less than 25,Female,20,1,1,0,1,0,0,0.74380624,10
143,M,Caucasian,25 - 45,Female,43,0,0,0,0,0,0,0.25886893,1
144,F,African-American,25 - 45,Male,38,9,1,1,1,1,1,0.85941446,8
145,F,African-American,25 - 45,Male,32,11,0,0,1,1,1,0.8586332,6
146,M,African-American,25 - 45,Male,33,8,0,0,1,1,1,0.7484647,5
147,F,African-American,25 - 45,Female,31,0,0,0,0,1,1,0.25876495,3
148,F,African-American,25 - 45,Female,33,7,0,0,1,1,1,0.7341324,9
149,F,African-American,25 - 45,Male,27,2,0,0,1,1,1,0.4532214,9
150,F,African-American,Less than 25,Female,20,0,0,0,1,0,0,0.71685976,6
151,M,Caucasian,25 - 45,Female,26,0,0,0,1,0,0,0.26357403,6
152,F,African-American,Greater than 45,Female,61,1,0,0,0,1,1,0.21416114,1
155,F,African-American,25 - 45,Female,32,4,0,0,1,1,1,0.44295156,10
158,M,African-American,25 - 45,Female,26,2,0,0,0,1,1,0.6972948,4
159,M,African-American,Greater than 45,Male,55,3,0,0,0,0,0,0.1782107,1
160,M,Caucasian,25 - 45,Male,39,1,1,0,0,0,0,0.39448357,4
161,F,Caucasian,25 - 45,Female,30,3,0,0,1,1,1,0.50210196,7
162,F,African-American,25 - 45,Male,30,1,0,0,1,0,0,0.37571883,7
163,M,Caucasian,Greater than 45,Male,48,2,0,0,0,0,0,0.12845968,2
164,F,African-American,Less than 25,Male,22,1,0,0,0,0,0,0.5360058,2
165,F,Caucasian,Greater than 45,Male,46,6,0,0,0,1,1,0.3457431,1
166,F,Caucasian,Greater than 45,Female,49,6,0,0,1,0,0,0.21142703,6
167,F,Caucasian,25 - 45,Male,31,0,0,0,1,0,0,0.19987246,5
168,M,African-American,25 - 45,Male,25,1,0,0,0,1,1,0.4998798,2
170,F,African-American,25 - 45,Female,32,5,0,0,1,0,0,0.79778886,7
172,F,African-American,Greater than 45,Male,62,8,0,0,0,0,0,0.2590954,4
173,F,Caucasian,25 - 45,Female,37,6,0,0,1,0,0,0.54506725,10
174,F,Caucasian,Greater than 45,Male,55,1,0,0,0,0,0,0.3008596,1
176,M,African-American,25 - 45,Male,28,6,0,0,1,1,1,0.8744853,6
179,M,Caucasian,Greater than 45,Male,78,1,0,0,0,1,1,0.16276415,1
180,F,Caucasian,Greater than 45,Male,56,0,0,0,0,0,0,0.12938787,1
182,F,African-American,25 - 45,Male,38,22,2,2,1,1,1,0.98974293,8
183,F,African-American,Less than 25,Male,22,1,0,0,1,1,1,0.6098816,5
184,M,African-American,Greater than 45,Male,47,23,0,0,1,1,1,0.77538705,8
185,M,African-American,Less than 25,Male,23,0,0,0,0,1,1,0.56746376,2
187,F,Caucasian,25 - 45,Female,38,2,0,0,1,1,1,0.28283447,5
188,F,African-American,Greater than 45,Male,66,3,0,0,0,0,1,0.27280506,1
189,M,Caucasian,Greater than 45,Male,45,8,0,0,0,1,1,0.657219,4
191,F,African-American,25 - 45,Male,32,13,0,0,1,1,1,0.7980401,10
192,M,African-American,25 - 45,Male,37,2,0,0,1,1,1,0.3661033,9
193,F,Caucasian,25 - 45,Male,39,0,0,0,0,1,1,0.18378724,4
194,F,African-American,25 - 45,Male,26,9,0,0,1,1,1,0.8665661,9
195,F,Caucasian,Greater than 45,Male,45,2,0,0,0,0,0,0.21015097,3
196,F,African-American,Less than 25,Male,23,0,0,0,0,1,1,0.62042266,3
197,M,African-American,25 - 45,Male,34,2,0,0,0,0,1,0.31510326,2
198,M,African-American,Less than 25,Female,23,1,0,0,0,0,0,0.63313216,4
200,F,Caucasian,Greater than 45,Male,50,1,0,0,0,0,0,0.17614882,1
201,M,Caucasian,25 - 45,Female,37,0,0,0,0,0,0,0.2510486,3
202,M,Caucasian,25 - 45,Male,44,4,0,0,0,0,0,0.33895716,4
203,F,African-American,25 - 45,Female,35,23,0,1,1,1,1,0.9802901,9
205,F,African-American,25 - 45,Male,26,2,0,0,1,1,1,0.39921623,10
206,M,African-American,25 - 45,Male,27,0,0,0,0,0,0,0.27006578,2
207,F,African-American,25 - 45,Female,28,0,0,0,1,0,0,0.37015793,8
208,F,Caucasian,25 - 45,Male,43,11,0,0,1,1,1,0.7039466,5
209,F,Caucasian,25 - 45,Female,28,7,0,0,1,1,1,0.79402775,9
210,F,African-American,25 - 45,Male,38,2,0,0,0,0,0,0.2582794,1
211,M,Caucasian,25 - 45,Male,27,2,0,0,0,0,0,0.29162288,4
212,F,African-American,25 - 45,Female,28,1,0,0,1,0,0,0.30961585,9
213,F,Caucasian,Greater than 45,Male,56,7,0,0,0,1,1,0.19962534,1
214,F,African-American,25 - 45,Male,38,15,0,0,1,0,0,0.9678227,9
215,M,African-American,25 - 45,Male,28,2,0,0,1,0,0,0.60893357,5
216,F,African-American,Greater than 45,Male,45,3,0,0,1,0,0,0.07171154,6
218,F,Caucasian,Greater than 45,Male,61,1,0,0,0,0,0,0.059802674,1
219,M,Caucasian,Greater than 45,Female,51,0,0,0,0,1,1,0.29326725,1
220,M,Caucasian,Greater than 45,Male,51,0,0,0,0,0,0,0.007149667,2
222,F,African-American,Greater than 45,Male,48,0,0,0,0,0,0,0.03875202,1
223,F,Caucasian,25 - 45,Male,37,4,0,0,0,1,1,0.53381073,3
224,F,African-American,25 - 45,Female,30,2,0,0,1,0,0,0.44412744,7
225,M,African-American,25 - 45,Female,41,5,0,0,1,0,0,0.4615574,6
226,F,African-American,25 - 45,Male,27,11,0,0,1,1,1,0.9611159,10
227,M,African-American,25 - 45,Male,37,0,0,0,0,0,1,0.16126975,1
229,F,African-American,Greater than 45,Male,54,11,0,0,1,0,0,0.666778,9
230,F,African-American,Less than 25,Male,23,2,0,0,1,0,0,0.7279368,9
231,F,African-American,25 - 45,Female,26,2,0,0,0,1,1,0.5315647,4
232,M,African-American,25 - 45,Male,41,0,0,0,0,0,0,0.2432124,1
233,F,Caucasian,Greater than 45,Male,52,0,0,0,0,0,0,0.09720564,1
234,F,Caucasian,25 - 45,Male,43,13,0,0,0,1,1,0.7292508,4
235,F,African-American,Greater than 45,Male,52,0,0,0,0,0,0,0.26375103,4
236,F,Caucasian,25 - 45,Male,28,1,0,0,0,0,0,0.35544202,1
237,M,African-American,25 - 45,Male,30,11,0,0,1,1,1,0.859301,9
238,F,Caucasian,25 - 45,Male,28,1,0,0,1,0,0,0.4923381,5
239,F,African-American,Less than 25,Male,22,0,0,0,0,0,0,0.4646271,4
240,F,African-American,25 - 45,Male,30,4,0,0,0,0,0,0.7375076,2
242,F,Caucasian,25 - 45,Male,31,0,0,0,1,1,1,0.27158636,8
243,F,Caucasian,25 - 45,Male,37,0,0,0,0,1,1,0.3814307,2
244,F,African-American,25 - 45,Male,32,14,0,1,1,0,0,0.94839585,9
245,M,African-American,25 - 45,Male,26,4,0,1,1,0,0,0.5115417,8
246,M,Caucasian,Greater than 45,Male,53,1,0,0,0,0,0,0.040966127,1
247,F,African-American,25 - 45,Male,28,25,0,0,1,1,1,0.99954224,8
248,M,Caucasian,25 - 45,Male,44,8,0,0,1,1,1,0.6388697,5
249,F,African-American,25 - 45,Male,25,0,0,0,0,0,0,0.45505428,3
250,M,Caucasian,Less than 25,Male,22,1,0,0,1,1,1,0.56946,8
253,F,Caucasian,25 - 45,Male,36,8,0,0,1,1,1,0.59714633,7
254,F,Caucasian,25 - 45,Male,30,4,0,0,0,0,0,0.62849367,2
255,M,African-American,Less than 25,Male,22,3,0,0,1,1,1,0.7657538,9
256,M,Caucasian,Less than 25,Female,24,1,0,0,1,1,1,0.4837702,7
257,M,African-American,25 - 45,Male,27,3,0,0,0,1,1,0.72037715,2
260,F,Caucasian,Less than 25,Female,23,5,0,0,1,1,1,0.8153193,5
262,M,African-American,25 - 45,Male,29,1,0,0,0,0,0,0.3396463,3
263,F,African-American,Less than 25,Male,20,1,0,0,1,1,1,0.78365934,8
264,F,African-American,25 - 45,Male,30,2,0,0,1,1,1,0.4023304,6
266,F,African-American,25 - 45,Male,27,4,0,0,0,0,0,0.5757223,4
267,M,Caucasian,25 - 45,Male,31,2,0,0,0,0,1,0.4001135,4
268,F,African-American,25 - 45,Female,37,2,0,0,0,0,0,0.3738005,1
269,F,African-American,Less than 25,Male,20,0,0,0,1,0,0,0.5697866,8
271,F,African-American,Greater than 45,Female,52,0,0,0,0,0,0,0.11532423,1
272,F,African-American,Less than 25,Female,23,0,0,0,0,1,1,0.4306874,4
273,F,African-American,Greater than 45,Female,48,0,0,0,0,0,0,0.17979398,2
274,F,African-American,Greater than 45,Male,66,8,0,0,1,1,1,0.3480621,6
275,F,Caucasian,25 - 45,Male,25,0,0,0,1,0,0,0.19646029,5
276,F,Caucasian,25 - 45,Male,27,0,0,0,1,1,1,0.34179363,6
277,F,African-American,25 - 45,Male,30,11,0,0,1,1,1,0.87947017,7
278,M,African-American,Less than 25,Male,22,3,0,1,1,1,1,0.78567934,10
279,F,Caucasian,Less than 25,Female,22,1,0,0,0,0,0,0.69059235,3
280,F,African-American,25 - 45,Male,35,2,0,0,1,0,0,0.40107396,10
281,F,Caucasian,25 - 45,Male,32,2,0,0,0,0,0,0.41197786,4
282,M,African-American,25 - 45,Female,41,2,0,0,0,0,0,0.36514056,3
284,M,African-American,25 - 45,Male,44,24,0,0,1,0,0,0.991504,7
